""	"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"
"PSMA2"	10111.4212629403	1.31216379449264	0.0968025337848213	13.5550562902558	7.39553952969341e-42	0.00304373995961079
"PSMA3"	8706.69891407988	1.01336142851626	0.0731501380589677	13.8531717834813	1.21716529951798e-43	0.00234321082529283
"PSMA4"	17967.9864145306	1.33940361134529	0.0780243512099513	17.1664818812932	4.73248691480329e-66	8.66107488774802e-05
"PSMA5"	7803.50861460167	1.63359383490639	0.0843724054696139	19.3617074897161	1.62411920562538e-83	6.36075388380321e-06
"PSMA6"	8885.19377229664	1.46543971719285	0.079586211824223	18.4132362076671	1.02886786129932e-75	2.08434134925667e-05
"PSMB1"	11068.8398508078	1.37461734595527	0.087479287825601	15.7136321079306	1.21985672370418e-55	0.000414432467107746
"PSMB3"	11652.7366762799	1.62096471251292	0.0793604794518793	20.4253392079845	9.95646809771508e-93	1.61304438172353e-06
"PSMB4"	11966.6722483261	1.143539568344	0.0712918198445409	16.0402633968049	6.68701438753144e-58	0.000296039715656207
"PSMD1"	1944.20388709976	-1.35017715608189	0.093890581669923	-14.3803258225463	6.877003391489e-47	0.00148596665990884
"PSMD11"	4104.92722947048	-1.27174657171529	0.0942594881035599	-13.4919740951496	1.7436837108435e-41	0.00321514093587961
"PSMD8"	7071.22217955164	1.04635488354294	0.0766066205140727	13.6588048986017	1.78895641092065e-42	0.00278225415228281
"PSME1"	2808.22170801624	1.23432356568522	0.0873971194529	14.1231607335803	2.73446311570257e-45	0.00184171944014907
"PSME2"	3394.98277821321	1.88253938253852	0.0823494318737001	22.8603809365167	1.15220360438475e-115	5.03059194897696e-08
"PSME4"	1220.01017786782	-1.39868795456024	0.105592794091434	-13.2460549661098	4.75552051337841e-40	0.00394584843321348
"PSMG4"	461.859707816343	1.85090576368132	0.136550000004701	13.5547840616449	7.42302725478552e-42	0.00304373995961079
"PTBP1"	5216.2298356138	-1.48847929830472	0.115806114456179	-12.8532012777957	8.25231373397538e-38	0.00558735783144444
"PTDSS1"	6763.77503609397	1.03816620643198	0.0745135412834507	13.9325844477419	4.01557650540732e-44	0.00217952274286162
"PTOV1"	1428.25659152745	-1.24865014604206	0.0895214441251539	-13.9480563371655	3.23296315530265e-44	0.00214660204635998
"PTPMT1"	2221.73261964144	1.24333916591866	0.0911843171521848	13.6354496557072	2.46466988085489e-42	0.00283514933824325
"PTPN11"	862.341057404032	-1.43441744386812	0.111776746004943	-12.8328788870333	1.07301617310714e-37	0.00567714696768932
"PTPRF"	2072.67267731436	-1.70902896703427	0.128103481541301	-13.341003276974	1.33648653945533e-40	0.00367707572034723
"PTPRG-AS1"	359.007215946782	2.03685270515783	0.165767233653562	12.2874265333682	1.05821421905756e-34	0.00898910601649128
"PTPRR"	494.040199319934	2.26993966071474	0.129246784568906	17.562832748884	4.74471785705269e-69	5.54204194758725e-05
"PTPRU"	383.475486979387	-2.59086001031285	0.160321949464212	-16.1603574493161	9.60033876656806e-59	0.000259480343998176
"PTPRZ1"	272.440792765032	-3.226573123261	0.192525594721306	-16.7591905270138	4.85184932823679e-63	0.000135081552517846
"PTRH2"	1106.88790513155	1.67741882082725	0.108944485767264	15.3970052638615	1.71426665450082e-53	0.000570347449111863
